BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
22:86:8C:44:07:8E,2016-02-27 07:12:37,2016-02-27 07:12:42,11,54,OPN,,,-45,5,0,0.  0.  0.  0,11,xfinitywifi,
C0:3F:0E:25:1C:3A,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,WPA2 WPA,CCMP TKIP,PSK,-43,4,0,0.  0.  0.  0,8,TheLofts,
14:CC:20:C7:CE:FE,2016-02-27 07:12:36,2016-02-27 07:12:42,5,54,WPA2 WPA,CCMP,PSK,-43,4,0,0.  0.  0.  0,9,Devil Dog,
D0:BF:9C:51:8E:3E,2016-02-27 07:12:36,2016-02-27 07:12:43,8,54,WPA2,CCMP,PSK,-38,3,0,0.  0.  0.  0,31,HP-Print-3E-Deskjet 2540 series,
40:8B:07:23:86:B5,2016-02-27 07:12:34,2016-02-27 07:12:42,6,54,WPA2,CCMP TKIP,PSK,-31,3,11,0.  0.  0.  0,4,SPQR,
C0:3F:0E:09:75:A4,2016-02-27 07:12:38,2016-02-27 07:12:42,11,54,WPA2 WPA,CCMP TKIP,PSK,-26,4,2,0.  0.  0.  0,4,64oz,
74:85:2A:97:5B:0A,2016-02-27 07:12:36,2016-02-27 07:12:42,8,54,OPN,,,-14,10,0,0.  0.  0.  0,11,xfinitywifi,
74:85:2A:97:5B:09,2016-02-27 07:12:36,2016-02-27 07:12:43,8,54,WPA2 WPA,CCMP TKIP,PSK,-13,6,0,0.  0.  0.  0,0,,
74:85:2A:97:5B:08,2016-02-27 07:12:35,2016-02-27 07:12:42,8,54,WPA2,CCMP,PSK,-12,7,0,0.  0.  0.  0,6,Walrus,
00:25:00:FF:94:73,2016-02-27 07:12:35,2016-02-27 07:12:43,-1,-1,,,,-1,0,0,0.  0.  0.  0,0,,
EC:1A:59:3B:91:69,2016-02-27 07:12:41,2016-02-27 07:12:41,11,54,WPA2,CCMP TKIP,PSK,-72,0,0,0.  0.  0.  0,17,belkin.166.guests,
90:C7:92:32:E7:60,2016-02-27 07:12:41,2016-02-27 07:12:43,6,54,WPA2,CCMP TKIP,PSK,-73,2,2,0.  0.  0.  0,9,HOME-E762,
04:A1:51:23:5B:B3,2016-02-27 07:12:42,2016-02-27 07:12:42,1,54,WPA2,CCMP,PSK,-64,1,0,0.  0.  0.  0,19,TrilogyChiropractic,
06:A1:51:23:5B:B4,2016-02-27 07:12:42,2016-02-27 07:12:42,1,54,WPA2,CCMP,PSK,-66,1,0,0.  0.  0.  0,13,Trilogy-Guest,
E2:3E:FC:9F:45:10,2016-02-27 07:12:42,2016-02-27 07:12:42,1,54,WPA2,CCMP,PSK,-64,1,0,0.  0.  0.  0,0,,
FA:8F:CA:61:6E:4B,2016-02-27 07:12:42,2016-02-27 07:12:42,11,54,OPN,,,-54,1,0,0.  0.  0.  0,0,,
90:C7:92:1E:D3:30,2016-02-27 07:12:42,2016-02-27 07:12:42,11,54,WPA2,CCMP,PSK,-68,1,0,0.  0.  0.  0,12,NormanTheCat,
12:86:8C:44:07:8E,2016-02-27 07:12:42,2016-02-27 07:12:42,11,54,WPA2 WPA,CCMP TKIP,PSK,-44,1,0,0.  0.  0.  0,0,,
54:BE:F7:DC:37:78,2016-02-27 07:12:42,2016-02-27 07:12:42,6,54,WPA2 WPA,CCMP TKIP,PSK,-74,1,0,0.  0.  0.  0,13,HOME-F4A1-2.4,
90:C7:92:1E:D3:30,2016-02-27 07:12:53,2016-02-27 07:12:56,11,54,WPA2,CCMP,PSK,-75,2,0,0.  0.  0.  0,12,NormanTheCat,
FC:15:B4:A8:CA:35,2016-02-27 07:12:53,2016-02-27 07:12:53,6,54,WPA2,CCMP,PSK,-74,1,0,0.  0.  0.  0,30,HP-Print-35-Officejet Pro 8610,
92:C7:92:32:E7:60,2016-02-27 07:12:53,2016-02-27 07:12:53,6,54,WPA2,CCMP,PSK,-74,1,0,0.  0.  0.  0,0,,
90:C7:92:32:E7:60,2016-02-27 07:12:53,2016-02-27 07:12:57,6,54,WPA2,CCMP TKIP,PSK,-74,2,2,0.  0.  0.  0,9,HOME-E762,
96:C7:92:32:E7:60,2016-02-27 07:12:53,2016-02-27 07:12:57,6,54,OPN,,,-72,3,0,0.  0.  0.  0,11,xfinitywifi,
94:57:A5:C6:0A:4C,2016-02-27 07:12:53,2016-02-27 07:12:53,11,54,WPA2,CCMP,PSK,-70,1,0,0.  0.  0.  0,29,DIRECT-4B-HP ENVY 4520 series,
92:C7:92:1E:D3:30,2016-02-27 07:12:50,2016-02-27 07:12:53,11,54,WPA2,CCMP,PSK,-69,3,0,0.  0.  0.  0,0,,
96:C7:92:1E:D3:30,2016-02-27 07:12:52,2016-02-27 07:12:53,11,54,OPN,,,-66,2,0,0.  0.  0.  0,11,xfinitywifi,
F2:ED:A5:62:46:40,2016-02-27 07:12:53,2016-02-27 07:12:57,11,54,WPA2,CCMP,PSK,-64,2,0,0.  0.  0.  0,0,,
62:E3:27:69:E5:60,2016-02-27 07:12:49,2016-02-27 07:12:53,6,54,WPA2,CCMP,PSK,-62,2,0,0.  0.  0.  0,14,imronburgandy?,
F6:ED:A5:62:46:40,2016-02-27 07:12:53,2016-02-27 07:12:57,11,54,OPN,,,-60,3,0,0.  0.  0.  0,11,xfinitywifi,
9E:34:26:25:AC:C6,2016-02-27 07:12:50,2016-02-27 07:12:58,1,54,WPA2 WPA,CCMP TKIP,PSK,-61,2,0,0.  0.  0.  0,0,,
00:71:C2:61:EE:29,2016-02-27 07:12:53,2016-02-27 07:12:58,1,54,WPA2 WPA,CCMP TKIP,PSK,-60,3,0,0.  0.  0.  0,0,,
AE:34:26:25:AC:C6,2016-02-27 07:12:54,2016-02-27 07:12:54,1,54,OPN,,,-60,2,0,0.  0.  0.  0,11,xfinitywifi,
20:4E:7F:A0:B3:82,2016-02-27 07:12:51,2016-02-27 07:12:55,8,54,WEP,WEP,,-53,2,0,0.  0.  0.  0,13,WHAT UP WAZZU,
F8:ED:A5:62:46:40,2016-02-27 07:12:53,2016-02-27 07:12:53,11,54,WPA2,CCMP TKIP,PSK,-58,1,0,0.  0.  0.  0,9,HOME-4642,
AA:66:7F:C5:EC:B0,2016-02-27 07:12:50,2016-02-27 07:12:58,1,54,WPA2,CCMP,PSK,-50,5,131,0.  0.  0.  0,11,Adam.Tucker,
CE:35:40:48:10:F2,2016-02-27 07:12:50,2016-02-27 07:12:58,1,54,WPA2,CCMP,PSK,-52,4,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
CC:35:40:48:10:F1,2016-02-27 07:12:50,2016-02-27 07:12:58,1,54,WPA2 WPA,CCMP TKIP,PSK,-50,4,0,0.  0.  0.  0,10,VZ-Seattle,
CE:35:40:48:10:F3,2016-02-27 07:12:50,2016-02-27 07:12:58,1,54,OPN,,,-50,3,0,0.  0.  0.  0,11,xfinitywifi,
6C:B0:CE:76:24:9C,2016-02-27 07:12:53,2016-02-27 07:12:57,6,54,WPA2,CCMP,PSK,-48,3,0,0.  0.  0.  0,9,NETGEAR30,
A0:A3:E2:21:6C:85,2016-02-27 07:12:50,2016-02-27 07:12:58,1,54,WPA2 WPA,CCMP TKIP,PSK,-50,4,0,0.  0.  0.  0,7,CarBear,
8C:04:FF:ED:A9:4F,2016-02-27 07:12:53,2016-02-27 07:12:58,1,54,WPA2 WPA,CCMP TKIP,PSK,-46,3,0,0.  0.  0.  0,9,HOME-A94F,
FA:8F:CA:69:3B:B1,2016-02-27 07:12:53,2016-02-27 07:12:56,11,54,OPN,,,-50,3,0,0.  0.  0.  0,0,,
10:5F:06:72:78:35,2016-02-27 07:12:49,2016-02-27 07:12:57,11,54,WPA2 WPA,CCMP TKIP,PSK,-45,4,0,0.  0.  0.  0,15,CenturyLink5546,
22:86:8C:44:07:8E,2016-02-27 07:12:49,2016-02-27 07:12:57,11,54,OPN,,,-44,4,0,0.  0.  0.  0,11,xfinitywifi,
C0:3F:0E:25:1C:3A,2016-02-27 07:12:54,2016-02-27 07:12:58,1,54,WPA2 WPA,CCMP TKIP,PSK,-45,2,0,0.  0.  0.  0,8,TheLofts,
