Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
C0:D9:62:44:3D:E2,2016-02-27 07:37:41,2016-02-27 07:37:45,-58,96,94:44:52:F7:42:E7,
5C:AA:FD:46:39:DB,2016-02-27 07:37:42,2016-02-27 07:37:42,-62,1,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
6C:AD:F8:1B:99:41,2016-02-27 07:37:37,2016-02-27 07:37:40,-56,21,10:86:8C:44:07:8E,
F0:4F:7C:9F:C8:0D,2016-02-27 07:37:38,2016-02-27 07:37:46,-58,60,AA:66:7F:C5:EC:B0,
84:78:8B:81:DC:C4,2016-02-27 07:37:38,2016-02-27 07:37:38,-54,1,40:8B:07:23:86:B5,
6C:AD:F8:28:07:EA,2016-02-27 07:37:37,2016-02-27 07:37:37,-50,8,(not associated),64oz
5C:AA:FD:6D:10:D1,2016-02-27 07:37:41,2016-02-27 07:37:45,-40,2,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
1C:3E:84:77:17:93,2016-02-27 07:37:38,2016-02-27 07:37:43,-1,26,40:4A:03:DE:C0:D3,
A4:B8:05:88:85:95,2016-02-27 07:37:52,2016-02-27 07:37:52,-64,1,(not associated),
5C:AA:FD:46:39:DB,2016-02-27 07:37:53,2016-02-27 07:37:57,-62,2,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
F0:4F:7C:9F:C8:0D,2016-02-27 07:37:53,2016-02-27 07:38:01,-58,101,AA:66:7F:C5:EC:B0,
C0:D9:62:44:3D:E2,2016-02-27 07:37:56,2016-02-27 07:37:56,-58,8,94:44:52:F7:42:E7,
6C:AD:F8:1B:99:41,2016-02-27 07:37:52,2016-02-27 07:38:00,-58,190,10:86:8C:44:07:8E,
5C:AA:FD:6D:10:D1,2016-02-27 07:37:52,2016-02-27 07:37:56,-40,2,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
D8:30:62:54:8A:0C,2016-02-27 07:37:53,2016-02-27 07:37:53,-1,1,90:EF:68:05:51:D9,
20:A2:E4:C2:48:CE,2016-02-27 07:37:56,2016-02-27 07:37:56,-1,7,90:C7:92:32:E7:60,
C0:CE:CD:2B:0A:37,2016-02-27 07:37:56,2016-02-27 07:37:56,-1,1,90:C7:92:32:E7:60,
1C:3E:84:77:17:93,2016-02-27 07:37:58,2016-02-27 07:37:58,-1,6,40:4A:03:DE:C0:D3,
5C:B9:01:56:D6:73,2016-02-27 07:38:00,2016-02-27 07:38:00,-1,1,14:CC:20:C7:CE:FE,
5C:AA:FD:46:39:DB,2016-02-27 07:38:08,2016-02-27 07:38:12,-64,2,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
C0:D9:62:44:3D:E2,2016-02-27 07:38:11,2016-02-27 07:38:15,-60,24,94:44:52:F7:42:E7,
F0:4F:7C:9F:C8:0D,2016-02-27 07:38:11,2016-02-27 07:38:16,-58,23,AA:66:7F:C5:EC:B0,
6C:AD:F8:1B:99:41,2016-02-27 07:38:08,2016-02-27 07:38:14,-56,40,10:86:8C:44:07:8E,
FC:FC:48:06:CD:E4,2016-02-27 07:38:10,2016-02-27 07:38:15,-46,123,40:8B:07:23:86:B5,
5C:AA:FD:6D:10:D1,2016-02-27 07:38:07,2016-02-27 07:38:07,-40,1,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
1C:3E:84:77:17:93,2016-02-27 07:38:09,2016-02-27 07:38:09,-1,1,40:4A:03:DE:C0:D3,
20:A2:E4:C2:48:CE,2016-02-27 07:38:11,2016-02-27 07:38:11,-1,2,90:C7:92:32:E7:60,
C0:CE:CD:2B:0A:37,2016-02-27 07:38:11,2016-02-27 07:38:11,-1,3,90:C7:92:32:E7:60,
90:18:7C:7A:FF:F7,2016-02-27 07:38:15,2016-02-27 07:38:15,-42,1,C0:3F:0E:09:75:A4,
6C:AD:F8:28:07:EA,2016-02-27 07:38:15,2016-02-27 07:38:15,-1,1,C0:3F:0E:09:75:A4,
DA:A1:19:78:1F:CD,2016-02-27 07:38:24,2016-02-27 07:38:24,-66,1,(not associated),
78:F8:82:D1:14:60,2016-02-27 07:38:24,2016-02-27 07:38:24,-62,2,40:4A:03:DE:C0:D3,
00:0E:58:E9:24:B5,2016-02-27 07:38:26,2016-02-27 07:38:26,-62,1,(not associated),Sonos_zgCcfASRPuguqRQmWGuRMELbMc
C0:D9:62:44:3D:E2,2016-02-27 07:38:26,2016-02-27 07:38:26,-62,2,94:44:52:F7:42:E7,
